accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score,time_of_day,is_weekend_str
0,Delhi,Delhi,28.690315743651613,77.16044757707687,2023-10-22,02:00,2,Monday,0,highway,4,1,rain,low,32,high,poor road,major,2,2,0,,0.74,Night,Weekday
1,Chandigarh,Chandigarh,30.798399267593503,76.77964763822095,2023-05-21,01:00,1,Friday,0,urban,1,0,clear,high,34,high,drunk driving,major,4,3,0,,0.72,Night,Weekday
2,Chennai,Tamil Nadu,13.04239640335012,80.25416593094442,2024-07-10,20:00,20,Monday,0,urban,1,0,rain,low,21,medium,drunk driving,minor,1,1,0,,0.73,Evening,Weekday
3,Delhi,Delhi,28.70704021192994,77.21168686852694,2025-03-30,05:00,5,Monday,0,urban,4,1,clear,medium,30,high,drunk driving,minor,5,2,0,,0.64,Morning,Weekday
4,Bangalore,Karnataka,13.013440188826046,77.57448746675927,2024-01-25,07:00,7,Saturday,1,urban,2,1,clear,high,24,low,weather,minor,2,1,0,,0.22,Morning,Weekend
5,Delhi,Delhi,28.542478490094105,77.14509130960722,2024-07-29,22:00,22,Wednesday,0,urban,4,1,fog,low,36,medium,drunk driving,minor,4,4,1,,0.72,Night,Weekday
6,Hyderabad,Telangana,17.42498229316274,78.52431451108554,2025-03-24,23:00,23,Saturday,1,rural,4,0,rain,medium,33,high,distraction,minor,4,4,0,,0.76,Night,Weekend
7,Chennai,Tamil Nadu,13.160864883962228,80.35566681101601,2023-05-07,11:00,11,Friday,0,urban,1,1,clear,high,25,medium,drunk driving,major,3,0,0,,0.47,Morning,Weekday
8,Delhi,Delhi,28.569588052606136,77.27784855073261,2022-02-25,06:00,6,Saturday,1,rural,2,0,clear,high,22,high,weather,fatal,1,0,0,,0.61,Morning,Weekend
9,Chennai,Tamil Nadu,13.16502119003894,80.19911482537864,2024-03-31,20:00,20,Thursday,0,urban,2,1,clear,high,23,medium,overspeeding,minor,1,0,0,,0.42,Evening,Weekday
10,Bangalore,Karnataka,13.043093558470526,77.61398884268868,2022-03-23,18:00,18,Friday,0,highway,2,1,rain,medium,34,medium,weather,major,3,3,0,,0.51,Evening,Weekday
11,Pune,Maharashtra,18.52612613210381,73.94808635106104,2022-01-27,16:00,16,Monday,0,highway,3,1,fog,low,33,high,overspeeding,minor,2,0,0,,0.71,Afternoon,Weekday
12,Delhi,Delhi,28.56990727411221,77.25674347154839,2023-11-28,20:00,20,Saturday,1,urban,1,1,clear,medium,17,high,distraction,minor,4,1,1,,0.58,Evening,Weekend
13,Bangalore,Karnataka,12.918318687713851,77.53742291877417,2024-03-25,17:00,17,Saturday,1,highway,3,0,rain,low,40,medium,poor road,minor,5,2,1,Holi,0.58,Evening,Weekend
14,Mumbai,Maharashtra,19.13608096202326,72.79858714645957,2025-02-09,05:00,5,Saturday,1,urban,4,1,rain,low,23,high,overspeeding,major,4,0,1,,0.79,Morning,Weekend
15,Bangalore,Karnataka,13.069991504460726,77.63063821819556,2024-03-18,02:00,2,Wednesday,0,highway,2,0,fog,low,23,low,poor road,minor,4,4,1,,0.58,Night,Weekday
16,Bangalore,Karnataka,12.8736029858604,77.66653734518228,2023-08-03,21:00,21,Thursday,0,rural,3,0,clear,high,20,high,distraction,major,5,3,0,,0.61,Night,Weekday
17,Chennai,Tamil Nadu,13.020399031256726,80.25927533368237,2023-09-26,09:00,9,Saturday,1,highway,3,1,clear,high,30,high,weather,minor,5,5,0,,0.42,Morning,Weekend
18,Chennai,Tamil Nadu,13.137810421285012,80.25784685506058,2024-08-14,20:00,20,Saturday,1,urban,4,1,rain,low,21,low,distraction,minor,1,1,1,,0.59,Evening,Weekend
19,Bangalore,Karnataka,12.926208903984676,77.52038956599833,2024-02-04,21:00,21,Monday,0,highway,3,1,rain,low,36,medium,overspeeding,fatal,2,0,0,,0.9,Night,Weekday
20,Chandigarh,Chandigarh,30.714166421203267,76.81054977299307,2022-11-04,20:00,20,Friday,0,urban,2,1,rain,low,30,high,drunk driving,fatal,5,5,0,,0.97,Evening,Weekday
21,Delhi,Delhi,28.66541943502757,77.2063215710318,2023-12-09,13:00,13,Saturday,1,rural,3,0,fog,low,25,medium,poor road,minor,4,1,0,,0.52,Afternoon,Weekend
22,Hyderabad,Telangana,17.34068896668636,78.5707161899813,2024-08-06,07:00,7,Saturday,1,urban,2,0,clear,high,26,high,distraction,minor,3,1,0,,0.4,Morning,Weekend
23,Delhi,Delhi,28.594088527697632,77.19417245084524,2023-07-26,10:00,10,Friday,0,highway,2,0,clear,high,36,medium,overspeeding,major,3,2,0,,0.48,Morning,Weekday
24,Mumbai,Maharashtra,19.05792410612861,72.85854997439117,2023-03-26,20:00,20,Saturday,1,urban,4,1,clear,medium,29,high,weather,minor,3,2,0,,0.5,Evening,Weekend
25,Bangalore,Karnataka,13.022736711746967,77.55893631714058,2022-11-02,22:00,22,Thursday,0,highway,3,0,clear,high,32,medium,drunk driving,fatal,1,0,0,,0.78,Night,Weekday
26,Bangalore,Karnataka,12.960671354780292,77.50052842547211,2024-10-11,15:00,15,Saturday,1,highway,2,0,rain,medium,39,low,overspeeding,fatal,1,1,0,,0.72,Afternoon,Weekend
27,Delhi,Delhi,28.589879726939408,77.25375413210413,2023-09-05,21:00,21,Friday,0,urban,3,1,clear,high,29,medium,drunk driving,minor,1,1,0,,0.56,Night,Weekday
28,Delhi,Delhi,28.528322961981424,77.18639414823926,2024-01-09,18:00,18,Thursday,0,highway,4,1,clear,medium,28,high,distraction,minor,1,1,1,,0.58,Evening,Weekday
29,Hyderabad,Telangana,17.45210989900049,78.5625027440172,2025-04-08,09:00,9,Monday,0,highway,1,0,fog,low,17,medium,distraction,minor,4,0,1,,0.52,Morning,Weekday
30,Delhi,Delhi,28.65441799217172,77.18477686944891,2023-05-21,02:00,2,Saturday,1,urban,3,1,rain,low,36,medium,overspeeding,major,1,1,1,,0.85,Night,Weekend
31,Delhi,Delhi,28.60841095749015,77.14159480317728,2024-12-31,01:00,1,Friday,0,rural,3,0,rain,medium,24,high,drunk driving,minor,3,1,0,,0.81,Night,Weekday
32,Bangalore,Karnataka,13.06970724369614,77.54368972904948,2024-10-11,02:00,2,Monday,0,rural,3,1,clear,high,18,medium,drunk driving,minor,5,4,0,,0.65,Night,Weekday
33,Bangalore,Karnataka,12.990924926133724,77.67843671889487,2023-10-09,08:00,8,Friday,0,urban,3,0,rain,medium,23,high,distraction,minor,4,4,0,,0.47,Morning,Weekday
34,Bangalore,Karnataka,12.946505677490638,77.50079302425463,2022-06-02,06:00,6,Monday,0,highway,2,1,clear,high,27,high,drunk driving,major,5,2,1,,0.65,Morning,Weekday
35,Hyderabad,Telangana,17.40751352876562,78.39516870942039,2023-12-21,21:00,21,Friday,0,rural,2,0,rain,medium,35,high,drunk driving,minor,5,1,0,,0.78,Night,Weekday
36,Bangalore,Karnataka,12.948364786090805,77.68553199282789,2024-01-02,10:00,10,Thursday,0,urban,4,1,clear,medium,24,low,drunk driving,minor,1,0,0,,0.51,Morning,Weekday
37,Delhi,Delhi,28.63083212810612,77.16237757238635,2023-02-19,01:00,1,Wednesday,0,urban,2,1,clear,high,32,medium,distraction,minor,4,4,1,,0.4,Night,Weekday
38,Delhi,Delhi,28.69508599198133,77.26394576731722,2023-12-04,11:00,11,Saturday,1,highway,2,0,clear,high,20,low,poor road,minor,2,1,0,,0.29,Morning,Weekend
39,Chandigarh,Chandigarh,30.720619940596592,76.86295898792375,2023-09-02,18:00,18,Saturday,1,urban,1,1,rain,low,30,medium,overspeeding,major,4,3,0,,0.77,Evening,Weekend
40,Kolkata,West Bengal,22.521226986567765,88.37530041769027,2024-11-19,16:00,16,Monday,0,urban,4,1,clear,medium,40,high,drunk driving,minor,2,2,0,,0.64,Afternoon,Weekday
41,Chennai,Tamil Nadu,13.033744001068314,80.24592150751889,2023-07-21,03:00,3,Sunday,1,rural,3,0,clear,high,29,high,distraction,minor,3,3,1,,0.62,Night,Weekend
42,Bangalore,Karnataka,12.963747140679232,77.58626578792226,2022-03-01,13:00,13,Saturday,1,urban,2,1,clear,high,20,medium,overspeeding,major,1,0,0,,0.49,Afternoon,Weekend
43,Mumbai,Maharashtra,19.14841272972568,72.81512027012388,2025-01-13,03:00,3,Friday,0,urban,4,1,clear,high,20,high,drunk driving,minor,1,1,0,,0.65,Night,Weekday
44,Chennai,Tamil Nadu,13.09068103398428,80.28777896446189,2022-11-01,21:00,21,Tuesday,0,urban,3,1,rain,low,26,medium,drunk driving,minor,2,2,0,,0.76,Night,Weekday
45,Delhi,Delhi,28.531736397356006,77.30629286415827,2024-06-21,08:00,8,Friday,0,highway,4,1,rain,low,21,medium,overspeeding,minor,1,1,1,,0.57,Morning,Weekday
46,Delhi,Delhi,28.65902583834962,77.21999266038223,2025-04-11,04:00,4,Wednesday,0,urban,4,1,rain,low,31,medium,drunk driving,minor,4,4,0,,0.79,Night,Weekday
47,Chennai,Tamil Nadu,13.059299781115492,80.19664756207207,2023-02-06,01:00,1,Sunday,1,highway,1,1,fog,low,16,high,distraction,minor,3,3,0,,0.84,Night,Weekend
48,Hyderabad,Telangana,17.308165564324245,78.38680213586217,2022-05-23,23:00,23,Tuesday,0,highway,2,0,rain,medium,22,medium,weather,minor,2,0,0,,0.52,Night,Weekday
49,Hyderabad,Telangana,17.38498080204385,78.5800661002232,2024-12-23,02:00,2,Saturday,1,urban,3,1,fog,low,31,high,drunk driving,minor,2,2,0,,0.86,Night,Weekend
50,Kolkata,West Bengal,22.53241770844846,88.31805843136505,2024-02-29,14:00,14,Saturday,1,urban,3,1,clear,high,32,low,overspeeding,major,3,1,1,,0.47,Afternoon,Weekend
51,Mumbai,Maharashtra,19.09694710084644,72.92184456597595,2023-02-23,22:00,22,Sunday,1,highway,2,1,clear,high,17,low,overspeeding,minor,2,2,0,,0.62,Night,Weekend
52,Delhi,Delhi,28.69106507917753,77.14309572272681,2024-07-21,00:00,0,Saturday,1,highway,2,0,clear,high,15,high,overspeeding,minor,1,0,0,,0.74,Night,Weekend
53,Chennai,Tamil Nadu,13.039031054773757,80.29788882432412,2023-03-14,18:00,18,Sunday,1,urban,2,1,fog,low,29,high,overspeeding,major,3,0,0,,0.87,Evening,Weekend
54,Mumbai,Maharashtra,19.059534768267014,72.79763090200116,2024-09-30,22:00,22,Sunday,1,highway,3,1,clear,high,25,low,drunk driving,minor,3,1,0,,0.69,Night,Weekend
55,Delhi,Delhi,28.713508237804227,77.2779234686234,2022-11-17,23:00,23,Friday,0,urban,3,1,rain,low,32,high,overspeeding,minor,3,3,0,,0.77,Night,Weekday
56,Delhi,Delhi,28.54401411313529,77.12430845950168,2023-09-07,01:00,1,Sunday,1,rural,2,0,clear,high,40,low,drunk driving,major,2,1,0,,0.77,Night,Weekend
57,Delhi,Delhi,28.55804053575517,77.25979364455428,2023-06-04,05:00,5,Saturday,1,urban,2,0,rain,medium,21,high,drunk driving,major,2,1,0,,0.71,Morning,Weekend
58,Hyderabad,Telangana,17.465955527609832,78.4791232848872,2022-06-28,02:00,2,Saturday,1,urban,2,0,clear,high,31,high,drunk driving,minor,1,0,0,,0.68,Night,Weekend
59,Hyderabad,Telangana,17.38670664785955,78.52556952394187,2025-03-28,11:00,11,Friday,0,highway,2,0,rain,medium,25,high,overspeeding,fatal,4,4,0,,0.78,Morning,Weekday
60,Mumbai,Maharashtra,19.15024078003273,72.91461670587366,2024-04-17,06:00,6,Friday,0,urban,3,1,clear,high,19,medium,drunk driving,minor,2,0,0,,0.38,Morning,Weekday
61,Hyderabad,Telangana,17.323056987841948,78.39054498278463,2024-12-31,17:00,17,Thursday,0,urban,2,1,rain,low,39,high,distraction,minor,1,0,1,,0.64,Evening,Weekday
62,Pune,Maharashtra,18.443393388763763,73.82408347241561,2023-05-13,01:00,1,Saturday,1,rural,2,1,clear,high,27,medium,distraction,minor,3,1,0,,0.49,Night,Weekend
63,Mumbai,Maharashtra,19.04584947691932,72.85650736561864,2024-04-02,12:00,12,Thursday,0,urban,2,0,clear,high,26,medium,drunk driving,minor,4,1,0,,0.38,Afternoon,Weekday
